sample_id,target_stack_compatible,record_count,welding_time_ms,nominal_inclusive_count_at_10hz,count_gap_from_nominal_hypothesis,record_index_strictly_increasing,invalid_current_count,invalid_force_count,current_mean_a,current_rms_a,current_jensen_ratio,force_min_stored,force_mean_positive_stored,force_max_stored
209,True,5,400.0,5,0,True,0,0,2397.606,2537.901765431436,1.1204538730799933,93.24,93.358,93.46
210,True,4,400.0,5,-1,True,0,0,2727.07,2783.1447396156027,1.041547339437951,92.98,93.08,93.16
212,True,5,400.0,5,0,True,0,0,2193.076,2231.2076969838554,1.035076942926754,92.94,93.02,93.1
213,False,5,400.0,5,0,True,0,0,2701.512,2744.464796662548,1.0320518742877387,93.04,93.098,93.15
214,True,5,400.0,5,0,True,0,0,2794.9719999999998,2851.190721267169,1.0406330507274675,93.27,93.508,93.62
215,True,5,400.0,5,0,True,0,0,2625.5080000000003,2768.4288072984646,1.111834196804026,93.54,93.614,93.72
216,True,5,400.0,5,0,True,0,0,3240.132,3263.967896177902,1.0147670342238515,93.44,93.468,93.5
218,True,5,400.0,5,0,True,0,0,2952.638,3003.9426105803022,1.035053630905384,92.99,93.088,93.17
219,True,5,400.0,5,0,True,0,0,2839.874,2909.8223952502667,1.0498682955978582,92.9,92.954,93.01
222,True,5,400.0,5,0,True,0,0,2756.6099999999997,2804.2301337907343,1.0348482012841287,93.0,93.05999999999999,93.15
224,True,5,400.0,5,0,True,0,0,2912.358,2965.216788233198,1.0366290662844657,93.02,93.026,93.04
225,True,4,400.0,5,-1,True,0,0,2742.7200000000003,2839.1253113150888,1.0715345437175654,93.02,93.045,93.07
226,True,5,400.0,5,0,True,0,0,2845.618,2899.641316842481,1.0383298996174681,93.1,93.158,93.19
227,True,5,400.0,5,0,True,0,0,2461.64,2530.0298569937863,1.0563363192651447,93.17,93.186,93.2
228,True,5,400.0,5,0,True,0,0,2588.734,2705.2053187919028,1.0920074716472086,92.91,93.026,93.13
229,True,5,400.0,5,0,True,0,0,2644.2740000000003,2741.958420031201,1.0752484368014446,92.56,92.72,92.83
230,True,5,400.0,5,0,True,0,0,2740.912,2829.7530879495475,1.0658765327299502,92.54,92.572,92.61
231,True,5,400.0,5,0,True,0,0,2685.172,2741.832191407782,1.0426475389548022,92.63,92.64199999999998,92.66
232,True,5,400.0,5,0,True,0,0,2583.196,2667.172586924213,1.066074409926028,92.53,92.598,92.64
233,True,5,400.0,5,0,True,0,0,2556.9120000000003,2648.9252670620967,1.073267180057565,92.56,92.644,92.7
234,True,5,400.0,5,0,True,0,0,2656.88,2740.578342780954,1.063997392427816,92.55,92.614,92.67
235,True,5,400.0,5,0,True,0,0,2783.4440000000004,2862.266096120345,1.0574382999395422,92.55,92.62199999999999,92.76
236,True,11,1000.0,11,0,True,0,0,3572.47,3623.2258892607138,1.0286168653975847,74.67,76.70454545454545,78.25
237,True,10,1000.0,11,-1,True,0,0,3699.529,3740.7225258350827,1.0223935894154663,75.28,76.42399999999999,78.0
238,True,11,1000.0,11,0,True,0,0,3581.491818181818,3619.6416629412365,1.0214173487931963,76.1,77.01818181818182,77.96
239,True,11,1000.0,11,0,True,0,0,3452.25,3491.538458292614,1.0228905902909877,72.71,76.51818181818182,77.43
240,True,9,1000.0,11,-2,True,0,0,3338.8811111111113,3382.6043630134723,1.0263618454103445,76.94,77.13444444444445,77.2
241,True,10,1000.0,11,-1,True,0,0,2837.05,2854.74402360702,1.0125124339508311,76.65,76.76599999999999,76.86
